cas_number_raw,cas_number_normalized,pubchem_status,pubchem_cid,pubchem_smiles_raw,resolver_note
100-02-7,100-02-7,resolved,980.0,C1=CC(=CC=C1[N+](=O)[O-])O,Resolved through PubChem exact CAS synonym match.
100-39-0,100-39-0,resolved,7498.0,C1=CC=C(C=C1)CBr,Resolved through PubChem exact CAS synonym match.
100-51-6,100-51-6,resolved,244.0,C1=CC=C(C=C1)CO,Resolved through PubChem exact CAS synonym match.
1002-62-6,1002-62-6,resolved,4457968.0,CCCCCCCCCC(=O)[O-].[Na+],Resolved through PubChem exact CAS synonym match.
103-11-7,103-11-7,resolved,7636.0,CCCCC(CC)COC(=O)C=C,Resolved through PubChem exact CAS synonym match.
104-54-1,104-54-1,resolved,5315892.0,C1=CC=C(C=C1)/C=C/CO,Resolved through PubChem exact CAS synonym match.
104-85-8,104-85-8,resolved,7724.0,CC1=CC=C(C=C1)C#N,Resolved through PubChem exact CAS synonym match.
10521-91-2,10521-91-2,resolved,61523.0,C1=CC=C(C=C1)CCCCCO,Resolved through PubChem exact CAS synonym match.
106-24-1,106-24-1,resolved,637566.0,CC(=CCC/C(=C/CO)/C)C,Resolved through PubChem exact CAS synonym match.
106-41-3,106-41-3,unresolved,,,PubChem returned no matching compound for the CAS query.
106-44-5,106-44-5,resolved,2879.0,CC1=CC=C(C=C1)O,Resolved through PubChem exact CAS synonym match.
106-48-9,106-48-9,resolved,4684.0,C1=CC(=CC=C1O)Cl,Resolved through PubChem exact CAS synonym match.
106-50-3,106-50-3,resolved,7814.0,C1=CC(=CC=C1N)N,Resolved through PubChem exact CAS synonym match.
108-39-4,108-39-4,resolved,342.0,CC1=CC(=CC=C1)O,Resolved through PubChem exact CAS synonym match.
108-46-3,108-46-3,resolved,5054.0,C1=CC(=CC(=C1)O)O,Resolved through PubChem exact CAS synonym match.
108-73-6,108-73-6,resolved,359.0,C1=C(C=C(C=C1O)O)O,Resolved through PubChem exact CAS synonym match.
108-88-3,108-88-3,resolved,1140.0,CC1=CC=CC=C1,Resolved through PubChem exact CAS synonym match.
108-95-2,108-95-2,resolved,996.0,C1=CC=C(C=C1)O,Resolved through PubChem exact CAS synonym match.
110-80-5,110-80-5,resolved,8076.0,CCOCCO,Resolved through PubChem exact CAS synonym match.
111-27-3,111-27-3,resolved,8103.0,CCCCCCO,Resolved through PubChem exact CAS synonym match.
111-76-2,111-76-2,resolved,8133.0,CCCCOCCO,Resolved through PubChem exact CAS synonym match.
111-87-5,111-87-5,resolved,957.0,CCCCCCCCO,Resolved through PubChem exact CAS synonym match.
112-30-1,112-30-1,resolved,8174.0,CCCCCCCCCCO,Resolved through PubChem exact CAS synonym match.
112-34-5,112-34-5,resolved,8177.0,CCCCOCCOCCO,Resolved through PubChem exact CAS synonym match.
112-80-1,112-80-1,resolved,445639.0,CCCCCCCC/C=C\CCCCCCCC(=O)O,Resolved through PubChem exact CAS synonym match.
117-81-7,117-81-7,resolved,8343.0,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,Resolved through PubChem exact CAS synonym match.
119-34-6,119-34-6,resolved,3417419.0,C1=CC(=C(C=C1N)[N+](=O)[O-])O,Resolved through PubChem exact CAS synonym match.
119-36-8,119-36-8,resolved,4133.0,COC(=O)C1=CC=CC=C1O,Resolved through PubChem exact CAS synonym match.
119-61-9,119-61-9,resolved,3102.0,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,Resolved through PubChem exact CAS synonym match.
120-80-9,120-80-9,resolved,289.0,C1=CC=C(C(=C1)O)O,Resolved through PubChem exact CAS synonym match.
120-83-2,120-83-2,resolved,8449.0,C1=CC(=C(C=C1Cl)Cl)O,Resolved through PubChem exact CAS synonym match.
1219-38-1,1219-38-1,resolved,14642.0,CCCCCCCCOC(=O)C1=CC=C(C=C1)O,Resolved through PubChem exact CAS synonym match.
122-57-6,122-57-6,resolved,15909.0,CC(=O)C=CC1=CC=CC=C1,Resolved through PubChem exact CAS synonym match.
123-07-9,123-07-9,resolved,31242.0,CCC1=CC=C(C=C1)O,Resolved through PubChem exact CAS synonym match.
