model_id,split_method,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,pearson_r_mean,pearson_r_std,spearman_r_mean,spearman_r_std
abdallah_lgbm,random_10fold,0.7647762127936253,0.11304984164832102,0.5296539527991126,0.07389334841188445,0.5428016028540718,0.1105737837242722,0.7513505350352607,0.07339451984466086,0.7502607507495802,0.05834430454900582
abdallah_lgbm,target_stratified_10fold,0.7587089945866262,0.0967225572037745,0.5180334440116965,0.06474643333173215,0.5600795479343775,0.08668720110004645,0.7552757006282158,0.05491427206799289,0.7637644700700478,0.0633887736949076
fpadmet_rf,random_10fold,0.7713530241304616,0.0704076142553976,0.5679163988203987,0.0530036118005345,0.5359609496042903,0.067996017455899,0.7394629420799899,0.04703708924433927,0.7279558348000735,0.05032845168382694
fpadmet_rf,target_stratified_10fold,0.749729291412565,0.06763237442379406,0.5525047896826452,0.05992721112281735,0.5708964910068793,0.0639996274222776,0.758969402760429,0.04506019289479691,0.747809577269628,0.06625779145488593
gate_lgbm,random_10fold,0.7348072844151867,0.12976754229914744,0.5302144024406248,0.10093488647318478,0.5727611049070462,0.14219970006683832,0.7654720010906646,0.10065718670255766,0.7740979693953841,0.08133335628619486
gate_lgbm,target_stratified_10fold,0.7159582237693908,0.08990693342609105,0.5181846256707748,0.05632975168419061,0.6084498501078762,0.07695863590217393,0.7836714246695159,0.04811017303577502,0.791813418048989,0.0540642885110741
waters_fragment_linear,random_10fold,0.9613271866576447,0.13037231901349894,0.7615585975017677,0.08339433412820417,0.27720371563517887,0.15718652685284581,0.5437561621828289,0.12947477654104705,0.5777058071560995,0.09160672348936821
waters_fragment_linear,target_stratified_10fold,0.957780909338938,0.05993493358141909,0.7515854392226677,0.06598193384695472,0.29750940182320657,0.09851047722485029,0.5502464626723438,0.09667000470528869,0.582383660652227,0.09340573193270245
zeng_svr_proxy,random_10fold,0.8612841830079576,0.16462408728781106,0.5750785988456696,0.10639772115506654,0.41177961463596435,0.21417840155457926,0.6794011747829924,0.1342883243262386,0.708303331779346,0.08323164777717941
zeng_svr_proxy,target_stratified_10fold,0.86515969128395,0.15342870976888545,0.5754932586501591,0.09683145907635654,0.4213034044367604,0.18992128395062435,0.6826781826690075,0.10285719476576251,0.7230271673901834,0.10129843790606512
